Entity,Christians,Muslims,Unaffiliated,Hindus,Buddhists,folkReligions,otherReligions,Jews,Population,Temperature
Burkina Faso,3710000,10150000,70000,5000,5000,2530000,5000,5000,18718019,28.29
Mali,370000,14510000,70000,5000,5000,410000,5000,5000,18112907,28.25
Kiribati,90000,5000,5000,5000,5000,5000,5000,5000,116707,28.2
Djibouti,20000,860000,5000,5000,5000,5000,5000,5000,1006259,28
Maldives,5000,310000,5000,5000,5000,5000,5000,5000,435582,28
Senegal,450000,11980000,5000,5000,5000,5000,5000,5000,14356181,27.85
Mauritania,5000,3430000,5000,5000,5000,20000,5000,5000,3946220,27.65
Tuvalu,5000,5000,5000,5000,5000,5000,5000,5000,10877,27.65
Palau,20000,5000,5000,5000,5000,5000,5000,5000,17794,27.6
Benin,4690000,2110000,450000,5000,5000,1600000,5000,5000,10932783,27.55
Gambia,80000,1640000,5000,5000,5000,5000,5000,5000,2253133,27.5
Marshall Islands,50000,5000,5000,5000,5000,5000,5000,5000,49410,27.4
Ghana,18260000,3860000,1020000,5000,5000,1200000,40000,5000,28870939,27.2
Kuwait,390000,2030000,5000,230000,80000,5000,5000,5000,3908743,27.15
Niger,120000,15270000,110000,5000,5000,5000,5000,5000,20128124,27.15
Qatar,240000,1190000,20000,240000,50000,5000,10000,5000,2414573,27.15
Seychelles,90000,5000,5000,5000,5000,5000,5000,5000,99240,27.15
Togo,2640000,840000,370000,5000,5000,2150000,30000,5000,7473229,27.15
Somalia,5000,9310000,5000,5000,5000,5000,5000,5000,13763906,27.05
Nigeria,78050000,77300000,680000,5000,10000,2290000,90000,5000,183995785,27
Sri Lanka,1530000,2040000,5000,2830000,14450000,5000,5000,5000,21336697,26.95
Sudan,1810000,30490000,350000,5000,5000,950000,5000,5000,38171178,26.9
Brunei,40000,300000,5000,5000,30000,20000,5000,5000,421437,26.85
Cambodia,50000,280000,30000,5000,13690000,80000,5000,5000,15417523,26.8
Bahrain,180000,890000,20000,120000,30000,5000,5000,5000,1362142,26.8
Saint Vincent and the Grenadines,100000,5000,5000,5000,5000,5000,5000,5000,106482,26.8
Guinea-Bissau,300000,680000,70000,5000,5000,470000,5000,5000,1788919,26.75
Samoa,180000,5000,5000,5000,5000,5000,5000,5000,203571,26.7
United Arab Emirates,940000,5780000,90000,490000,150000,5000,60000,5000,8916899,26.65
Chad,4560000,6210000,280000,5000,5000,160000,20000,5000,14140274,26.55
Singapore,920000,730000,830000,260000,1730000,120000,490000,5000,5650018,26.45
Ivory Coast,8710000,7390000,1570000,5000,5000,2020000,30000,5000,23596741,26.35
Thailand,600000,3770000,190000,70000,64420000,60000,5000,5000,70294397,26.3
Sierra Leone,1230000,4580000,5000,5000,5000,50000,5000,5000,7314773,26.05
Grenada,100000,5000,5000,5000,5000,5000,5000,5000,118980,26
Barbados,260000,5000,5000,5000,5000,5000,5000,5000,278083,26
Guyana,500000,50000,10000,190000,5000,5000,5000,5000,755031,26
Indonesia,23660000,209120000,240000,4050000,1720000,750000,340000,5000,259091970,25.85
Antigua and Barbuda,80000,5000,5000,5000,5000,5000,5000,5000,89941,25.85
Trinidad and Tobago,880000,80000,30000,300000,5000,30000,20000,5000,1460177,25.75
Guinea,1090000,8430000,180000,5000,5000,270000,5000,5000,11625998,25.7
Suriname,270000,80000,30000,100000,5000,30000,5000,5000,575475,25.7
Solomon Islands,520000,5000,5000,5000,5000,5000,5000,5000,612660,25.65
Oman,180000,2390000,5000,150000,20000,5000,30000,5000,4191776,25.6
Philippines,86370000,5150000,90000,5000,80000,1430000,130000,5000,103031365,25.55
Eritrea,3310000,1920000,5000,5000,5000,20000,5000,5000,3340006,25.5
Malaysia,2670000,18100000,190000,1720000,5010000,650000,60000,5000,31068833,25.4
Panama,3270000,30000,170000,5000,5000,20000,20000,10000,3957099,25.4
Belize,270000,5000,30000,5000,5000,5000,5000,5000,359871,25.35
Comoros,5000,720000,5000,5000,5000,5000,5000,5000,730216,25.3
Venezuela,25890000,90000,2900000,5000,5000,60000,20000,5000,30529716,25.35
Liberia,3430000,480000,60000,5000,5000,20000,5000,5000,4612329,25.3
Timor-Leste,1120000,5000,5000,5000,5000,5000,5000,5000,1205813,25.25
Papua New Guinea,6800000,5000,5000,5000,5000,30000,20000,5000,8682174,25.25
Tonga,100000,5000,5000,5000,5000,5000,5000,5000,106122,25.25
Cuba,6670000,5000,2590000,20000,5000,1960000,5000,5000,11339894,25.2
Gabon,1150000,170000,80000,5000,5000,90000,5000,5000,2028517,25.05
Bangladesh,450000,134430000,5000,12680000,920000,100000,100000,5000,157830000,25
Brazil,173300000,40000,15410000,5000,250000,5540000,300000,110000,205188205,24.95
Jamaica,2120000,5000,470000,5000,5000,120000,30000,5000,2794445,24.95
Central African Republic,3940000,370000,40000,5000,5000,40000,5000,5000,4819333,24.9
Haiti,8690000,5000,1060000,5000,5000,220000,30000,5000,10563757,24.9
Nicaragua,4970000,5000,730000,5000,5000,80000,5000,5000,6298598,24.9
Bahamas,330000,5000,10000,5000,5000,5000,5000,5000,392697,24.85
Costa Rica,4230000,5000,370000,5000,5000,40000,10000,5000,4895242,24.8
Kenya,34340000,3920000,1000000,60000,5000,690000,500000,5000,46851488,24.75
Saudi Arabia,1200000,25520000,180000,310000,90000,70000,70000,5000,32749848,24.65
Cameroon,13780000,3590000,1050000,5000,5000,650000,530000,5000,23012646,24.6
Republic of the Congo,3470000,50000,360000,5000,5000,110000,40000,5000,5064386,24.55
Dominican Republic,8740000,5000,1080000,5000,5000,90000,10000,5000,10405832,24.55
Equatorial Guinea,620000,30000,30000,5000,5000,10000,5000,5000,1346973,24.55
Colombia,42810000,10000,3050000,5000,5000,370000,40000,5000,47119728,24.5
Saint Kitts and Nevis,50000,5000,5000,5000,5000,5000,5000,5000,47790,24.5
Vietnam,7170000,160000,26040000,5000,14380000,39750000,350000,5000,92191398,24.45
El Salvador,5460000,5000,680000,5000,5000,30000,20000,5000,6231066,24.45
Fiji,550000,50000,5000,240000,5000,5000,5000,5000,917200,24.4
Vanuatu,220000,5000,5000,5000,5000,5000,5000,5000,276438,23.95
Yemen,40000,23830000,20000,150000,5000,5000,5000,5000,28516545,23.85
Mozambique,13260000,4200000,4200000,5000,5000,1720000,5000,5000,26843246,23.8
India,31130000,176200000,870000,973750000,9250000,5850000,27560000,10000,1322866505,23.65
Paraguay,6250000,5000,70000,5000,5000,110000,10000,5000,6177950,23.55
Honduras,6660000,10000,790000,5000,5000,80000,40000,5000,9294505,23.5
Guatemala,13690000,5000,590000,5000,5000,80000,10000,5000,16001107,23.45
Cape Verde,440000,5000,50000,5000,5000,5000,5000,5000,552166,23.3
Laos,90000,5000,50000,5000,4100000,1910000,50000,5000,6787419,22.8
Uganda,28980000,3840000,170000,100000,5000,290000,40000,5000,37477356,22.8
Madagascar,17680000,620000,1440000,10000,5000,940000,20000,5000,24850912,22.65
Algeria,60000,34730000,660000,5000,5000,10000,5000,5000,39543154,22.5
Mauritius,420000,220000,5000,630000,5000,5000,5000,5000,1293153,22.4
Dominica,70000,5000,5000,5000,5000,5000,5000,5000,70007,22.35
Tanzania,27540000,15770000,650000,50000,5000,800000,30000,5000,52542823,22.35
Ethiopia,52070000,28680000,50000,5000,5000,2130000,5000,5000,102471895,22.2
Egypt,4120000,76990000,5000,5000,5000,5000,5000,5000,97723799,22.1
Malawi,12320000,1930000,370000,5000,5000,260000,5000,5000,16938942,21.9
Ecuador,13610000,5000,800000,5000,5000,40000,5000,5000,16195902,21.85
Libya,170000,6140000,10000,5000,20000,5000,5000,5000,6192235,21.8
Australia,14980000,540000,5390000,310000,600000,150000,180000,110000,23820236,21.65
Angola,17270000,40000,980000,5000,5000,790000,5000,5000,28127721,21.55
Bolivia,9330000,5000,400000,5000,5000,90000,100000,5000,11090085,21.55
Botswana,1450000,5000,410000,5000,5000,120000,10000,5000,2305171,21.5
Hong Kong,1010000,130000,3950000,30000,930000,900000,110000,5000,7399838,21.45
Iraq,270000,31340000,40000,5000,5000,5000,20000,5000,37757813,21.4
Eswatini,1040000,5000,120000,5000,5000,10000,5000,5000,1133936,21.4
Zambia,12770000,70000,70000,10000,5000,40000,120000,5000,16248230,21.4
Mexico,107910000,5000,5330000,5000,5000,70000,20000,70000,120149897,21
Zimbabwe,10930000,110000,990000,5000,5000,480000,40000,10000,14154937,21
Pakistan,2750000,167410000,20000,3330000,20000,30000,20000,5000,210969298,20.2
Namibia,2230000,5000,40000,5000,5000,5000,5000,5000,2282704,19.95
Burundi,7670000,230000,5000,5000,5000,480000,5000,5000,10727148,19.8
Peru,27780000,5000,860000,5000,50000,290000,90000,5000,30711863,19.6
Israel,150000,1380000,230000,5000,20000,20000,5000,5610000,8007778,19.2
Malta,400000,5000,10000,5000,5000,5000,5000,5000,456579,19.2
Tunisia,20000,10430000,20000,5000,5000,5000,5000,5000,11557779,19.2
Cyprus,810000,280000,10000,5000,5000,5000,5000,5000,1187280,18.45
Jordan,130000,6010000,5000,5000,20000,5000,5000,5000,9494246,18.3
Rwanda,9920000,190000,380000,5000,5000,100000,20000,5000,11642959,17.85
South Africa,40710000,860000,7450000,570000,100000,210000,170000,70000,55876504,17.75
Syria,1060000,18930000,420000,5000,5000,5000,5000,5000,19205178,17.75
Uruguay,1950000,5000,1370000,5000,5000,30000,5000,5000,3402818,17.55
Iran,110000,73570000,110000,20000,5000,5000,150000,5000,81790841,17.25
Morocco,20000,31930000,5000,5000,5000,5000,5000,5000,34680458,17.1
Lebanon,1620000,2590000,10000,5000,5000,5000,5000,5000,6398940,15
Greece,10010000,610000,700000,20000,5000,10000,5000,5000,10806641,15.4
Portugal,9810000,30000,800000,5000,20000,10000,5000,5000,10365435,15.15
Turkmenistan,320000,4690000,30000,5000,5000,5000,5000,5000,5766431,15.1
Argentina,34420000,400000,4920000,5000,20000,330000,120000,200000,43257065,14.8
Monaco,30000,5000,5000,5000,5000,5000,5000,5000,36760,13.55
Italy,50440000,2220000,7500000,90000,110000,80000,60000,50000,60232906,13.45
Spain,36240000,980000,8740000,20000,5000,20000,10000,60000,46431342,13.3
Myanmar,3750000,1900000,240000,820000,38410000,2760000,80000,5000,51483949,13.05
Afghanistan,30000,31330000,5000,10000,5000,5000,20000,5000,33753499,12.6
Uzbekistan,630000,26550000,220000,5000,10000,10000,5000,10000,30949417,12.05
Azerbaijan,280000,8900000,5000,5000,5000,5000,5000,5000,9863480,11.95
Lesotho,2100000,5000,70000,5000,5000,5000,5000,5000,2118521,11.85
San Marino,30000,5000,5000,5000,5000,5000,5000,5000,33570,11.85
South Korea,14170000,100000,22340000,5000,11050000,400000,110000,5000,50994401,11.5
Albania,580000,2570000,50000,5000,5000,5000,5000,5000,2882481,11.4
Japan,2030000,200000,72120000,30000,45820000,450000,5890000,5000,127250933,11.15
Croatia,4110000,60000,230000,5000,5000,5000,5000,5000,4254815,10.9
France,39560000,4710000,17580000,30000,280000,220000,100000,310000,63809769,10.7
Montenegro,490000,120000,20000,5000,5000,5000,5000,5000,633966,10.55
Bulgaria,6150000,1020000,310000,5000,5000,5000,5000,5000,7309253,10.55
New Zealand,2490000,50000,1600000,90000,70000,20000,30000,5000,4590590,10.55
Serbia,7490000,330000,260000,5000,5000,5000,5000,5000,7519496,10.55
Turkey,320000,71330000,860000,5000,40000,20000,150000,20000,79646178,9.9
Bosnia and Herzegovina,1970000,1700000,90000,5000,5000,5000,5000,5000,3524324,9.85
Hungary,8090000,5000,1860000,5000,5000,5000,5000,10000,9844246,9.75
Belgium,6880000,630000,3110000,5000,30000,20000,10000,30000,11248303,9.55
Moldova,3480000,20000,50000,5000,5000,5000,5000,20000,3277388,9.45
Ireland,4110000,50000,280000,10000,5000,5000,5000,5000,4665760,9.3
Netherlands,8410000,1000000,6990000,80000,40000,30000,30000,30000,17041107,9.25
Slovenia,1590000,70000,370000,5000,5000,5000,5000,5000,2080862,8.9
Romania,21380000,70000,20000,5000,5000,5000,5000,5000,19906079,8.8
Luxembourg,360000,10000,140000,5000,5000,5000,5000,5000,569408,8.65
United States,243060000,2770000,50980000,1790000,3570000,630000,1900000,5690000,324607776,8.55
United Kingdom,39890000,2960000,17220000,890000,280000,60000,460000,290000,65224364,8.45
Chile,15300000,5000,1470000,5000,10000,260000,30000,20000,17870124,8.45
Germany,56540000,4760000,20350000,80000,210000,40000,100000,230000,82073226,8.4
Ukraine,38100000,560000,6690000,10000,20000,5000,5000,50000,44982564,8.3
Nepal,140000,1370000,80000,24170000,3080000,1100000,20000,5000,27610325,8.1
Poland,36100000,5000,2150000,5000,5000,5000,5000,10000,38553146,7.85
Andorra,70000,5000,5000,5000,5000,5000,5000,5000,71746,7.6
Czech Republic,2450000,5000,8020000,5000,5000,5000,5000,5000,10523798,7.55
China,68410000,24690000,700680000,20000,244110000,294300000,9080000,5000,1393715448,7.5
Bhutan,5000,5000,5000,160000,540000,10000,5000,5000,743274,7.4
Armenia,3050000,5000,40000,5000,5000,5000,5000,5000,2878595,7.15
Denmark,4630000,230000,650000,20000,10000,5000,5000,5000,5677796,6.95
Slovakia,4660000,5000,780000,5000,5000,5000,5000,5000,5424444,6.8
Tajikistan,110000,6650000,100000,5000,5000,5000,5000,5000,8524063,6.4
Austria,6750000,450000,1130000,5000,20000,5000,10000,10000,8642421,6.35
Lithuania,2980000,5000,330000,5000,5000,5000,5000,5000,2963765,6.2
Belarus,6830000,20000,2740000,5000,5000,5000,5000,5000,9700609,6.15
Liechtenstein,30000,5000,5000,5000,5000,5000,5000,5000,37355,5.8
North Korea,480000,5000,17350000,5000,370000,3000000,3140000,5000,25258015,5.7
Georgia,3850000,470000,30000,5000,5000,5000,5000,5000,3771132,5.65
Latvia,1260000,5000,990000,5000,5000,5000,5000,5000,1991955,5.6
Kazakhstan,3970000,11290000,670000,5000,40000,50000,20000,5000,17835909,5.5
Switzerland,5570000,380000,1600000,40000,40000,5000,10000,20000,8281732,5.1
Kyrgyzstan,610000,4690000,20000,5000,5000,5000,5000,5000,5914980,2.1
Estonia,540000,5000,800000,5000,5000,5000,5000,5000,1314657,2
Sweden,6310000,430000,2540000,20000,40000,20000,20000,10000,9849349,1.75
Mongolia,60000,90000,990000,5000,1520000,100000,5000,5000,2964749,1.7
Finland,4300000,40000,1020000,5000,5000,5000,5000,5000,5479461,1.55
Norway,4140000,180000,490000,20000,30000,5000,10000,5000,5190356,1.5
Iceland,300000,5000,10000,5000,5000,5000,5000,5000,331060,-0.7
Canada,23470000,710000,8050000,470000,280000,390000,300000,350000,35732126,-5.1
Russia,104750000,14290000,23180000,30000,170000,310000,5000,230000,144668389,-5.35
