Entity,Code,Year,GII
Afghanistan,AFG,2015,0.667
Albania,ALB,2015,0.26699999
Algeria,DZA,2015,0.42899999
Armenia,ARM,2015,0.29300001
Australia,AUS,2015,0.12
Austria,AUT,2015,0.078000002
Azerbaijan,AZE,2015,0.32600001
Bahamas,BHS,2015,0.36199999
Bahrain,BHR,2015,0.233
Bangladesh,BGD,2015,0.51999998
Barbados,BRB,2015,0.29100001
Belarus,BLR,2015,0.14399999
Belgium,BEL,2015,0.072999999
Belize,BLZ,2015,0.375
Benin,BEN,2015,0.61299998
Bhutan,BTN,2015,0.477
Bolivia,BOL,2015,0.44600001
Bosnia and Herzegovina,BIH,2015,0.15800001
Botswana,BWA,2015,0.435
Brazil,BRA,2015,0.414
Bulgaria,BGR,2015,0.223
Burkina Faso,BFA,2015,0.61500001
Burundi,BDI,2015,0.47400001
Cambodia,KHM,2015,0.479
Cameroon,CMR,2015,0.56800002
Canada,CAN,2015,0.097999997
Chad,TCD,2015,0.69499999
Chile,CHL,2015,0.322
China,CHN,2015,0.164
Colombia,COL,2015,0.39300001
Congo,COG,2015,0.59200001
Costa Rica,CRI,2015,0.308
Cote d'Ivoire,CIV,2015,0.67199999
Croatia,HRV,2015,0.141
Cuba,CUB,2015,0.30399999
Cyprus,CYP,2015,0.116
Czechia,CZE,2015,0.12899999
Democratic Republic of Congo,COD,2015,0.66299999
Denmark,DNK,2015,0.041000001
Dominican Republic,DOM,2015,0.47
Ecuador,ECU,2015,0.391
El Salvador,SLV,2015,0.384
Estonia,EST,2015,0.131
Eswatini,SWZ,2015,0.56599998
Ethiopia,ETH,2015,0.49900001
Fiji,FJI,2015,0.35800001
Finland,FIN,2015,0.056000002
France,FRA,2015,0.102
Gabon,GAB,2015,0.542
Gambia,GMB,2015,0.64099997
Georgia,GEO,2015,0.361
Germany,DEU,2015,0.066
Ghana,GHA,2015,0.54699999
Greece,GRC,2015,0.119
Guatemala,GTM,2015,0.49399999
Guyana,GUY,2015,0.50800002
Haiti,HTI,2015,0.59299999
Honduras,HND,2015,0.461
Hungary,HUN,2015,0.252
Iceland,ISL,2015,0.050999999
India,IND,2015,0.52999997
Indonesia,IDN,2015,0.46700001
Iran,IRN,2015,0.509
Iraq,IRQ,2015,0.52499998
Ireland,IRL,2015,0.127
Israel,ISR,2015,0.103
Italy,ITA,2015,0.085000001
Jamaica,JAM,2015,0.42199999
Japan,JPN,2015,0.116
Jordan,JOR,2015,0.47799999
Kazakhstan,KAZ,2015,0.20200001
Kenya,KEN,2015,0.565
Kuwait,KWT,2015,0.33500001
Kyrgyzstan,KGZ,2015,0.39399999
Laos,LAO,2015,0.46799999
Latvia,LVA,2015,0.191
Lebanon,LBN,2015,0.38100001
Lesotho,LSO,2015,0.54900002
Liberia,LBR,2015,0.64899999
Libya,LBY,2015,0.167
Lithuania,LTU,2015,0.121
Luxembourg,LUX,2015,0.075000003
Malawi,MWI,2015,0.61400002
Malaysia,MYS,2015,0.29100001
Maldives,MDV,2015,0.31200001
Mali,MLI,2015,0.68900001
Malta,MLT,2015,0.21699999
Mauritania,MRT,2015,0.62699997
Mauritius,MUS,2015,0.38
Mexico,MEX,2015,0.345
Moldova,MDA,2015,0.23199999
Mongolia,MNG,2015,0.278
Montenegro,MNE,2015,0.156
Morocco,MAR,2015,0.49399999
Mozambique,MOZ,2015,0.574
Myanmar,MMR,2015,0.37400001
Namibia,NAM,2015,0.47400001
Nepal,NPL,2015,0.49700001
Netherlands,NLD,2015,0.044
New Zealand,NZL,2015,0.15800001
Nicaragua,NIC,2015,0.46200001
Niger,NER,2015,0.69499999
North Macedonia,MKD,2015,0.16
Norway,NOR,2015,0.052999999
Oman,OMN,2015,0.28099999
Pakistan,PAK,2015,0.546
Panama,PAN,2015,0.45699999
Papua New Guinea,PNG,2015,0.59500003
Paraguay,PRY,2015,0.46399999
Peru,PER,2015,0.38499999
Philippines,PHL,2015,0.43599999
Poland,POL,2015,0.13699999
Portugal,PRT,2015,0.090999998
Qatar,QAT,2015,0.542
Romania,ROU,2015,0.33899999
Russia,RUS,2015,0.271
Rwanda,RWA,2015,0.38299999
Saint Lucia,LCA,2015,0.354
Samoa,WSM,2015,0.43900001
Sao Tome and Principe,STP,2015,0.52399999
Saudi Arabia,SAU,2015,0.257
Senegal,SEN,2015,0.52100003
Serbia,SRB,2015,0.185
Sierra Leone,SLE,2015,0.64999998
Singapore,SGP,2015,0.068000004
Slovakia,SVK,2015,0.18000001
Slovenia,SVN,2015,0.052999999
South Africa,ZAF,2015,0.39399999
South Korea,KOR,2015,0.067000002
Spain,ESP,2015,0.081
Sri Lanka,LKA,2015,0.38600001
Sudan,SDN,2015,0.57499999
Suriname,SUR,2015,0.44800001
Sweden,SWE,2015,0.048
Switzerland,CHE,2015,0.039999999
Syria,SYR,2015,0.55400002
Tajikistan,TJK,2015,0.322
Tanzania,TZA,2015,0.54400003
Thailand,THA,2015,0.366
Togo,TGO,2015,0.55599999
Tonga,TON,2015,0.65899998
Trinidad and Tobago,TTO,2015,0.324
Tunisia,TUN,2015,0.289
Turkey,TUR,2015,0.32800001
Uganda,UGA,2015,0.52200001
Ukraine,UKR,2015,0.28400001
United Arab Emirates,ARE,2015,0.23199999
United Kingdom,GBR,2015,0.131
United States,USA,2015,0.20299999
Uruguay,URY,2015,0.28400001
Uzbekistan,UZB,2015,0.287
Venezuela,VEN,2015,0.461
Vietnam,VNM,2015,0.33700001
Yemen,YEM,2015,0.76700002
Zambia,ZMB,2015,0.52600002
Zimbabwe,ZWE,2015,0.54000002